name,common_name,supercategory,kingdom,phylum,class
Lumbricus terrestris,Common Earthworm,Animalia,Animalia,Annelida,Clitellata
Sabella spallanzanii,Mediterranean Fanworm,Animalia,Animalia,Annelida,Polychaeta
Serpula columbiana,Serpula columbiana,Animalia,Animalia,Annelida,Polychaeta
Spirobranchus cariniferus,Blue Tube Worm,Animalia,Animalia,Annelida,Polychaeta
Eratigena duellica,Giant House Spider,Arachnids,Animalia,Arthropoda,Arachnida
Atypoides riversi,California Turret Spider,Arachnids,Animalia,Arthropoda,Arachnida
Aculepeira ceropegia,Oak Spider,Arachnids,Animalia,Arthropoda,Arachnida
Agalenatea redii,Gorse Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Araneus bicentenarius,Giant Lichen Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Araneus diadematus,Cross Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Araneus marmoreus,Marbled Orb Weaver,Arachnids,Animalia,Arthropoda,Arachnida
Araneus quadratus,Four-spot Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Araneus trifolium,Shamrock Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Araniella displicata,Six-spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Argiope appensa,Hawaiian Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida
Argiope argentata,Silver Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida
Argiope aurantia,Yellow Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida
Argiope australis,Common Garden Orbweb Spinner,Arachnids,Animalia,Arthropoda,Arachnida
Argiope bruennichi,Wasp Spider,Arachnids,Animalia,Arthropoda,Arachnida
Argiope keyserlingi,St. Andrew's Cross Spider,Arachnids,Animalia,Arthropoda,Arachnida
Argiope lobata,Lobed Argiope,Arachnids,Animalia,Arthropoda,Arachnida
Argiope trifasciata,Banded Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida
Austracantha minax,Australian Jewel Spider,Arachnids,Animalia,Arthropoda,Arachnida
Cyclosa conica,Conical Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Cyclosa turbinata,Humped Trashline Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Cyrtophora citricola,Tropical Tent-web Spider,Arachnids,Animalia,Arthropoda,Arachnida
Eriophora pustulosa,Garden Orbweb Spider,Arachnids,Animalia,Arthropoda,Arachnida
Eriophora ravilla,Tropical Orbweaver Spider,Arachnids,Animalia,Arthropoda,Arachnida
Gasteracantha cancriformis,Spinybacked Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Gasteracantha kuhli,Black-and-white Spiny Spider,Arachnids,Animalia,Arthropoda,Arachnida
Larinioides cornutus,Furrow Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Mangora acalypha,Cricket-bat Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Mangora placida,Tuft-legged Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Mecynogea lemniscata,Basilica Spider,Arachnids,Animalia,Arthropoda,Arachnida
Micrathena gracilis,Spined Micrathena,Arachnids,Animalia,Arthropoda,Arachnida
Micrathena mitrata,White Micrathena,Arachnids,Animalia,Arthropoda,Arachnida
Micrathena sagittata,Arrow-shaped Micrathena,Arachnids,Animalia,Arthropoda,Arachnida
Neoscona arabesca,Arabesque Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Neoscona crucifera,Hentz's Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Neoscona domiciliorum,Red-femured Spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Neoscona oaxacensis,Western Spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Nephila pilipes,Giant Golden Orb-weaving Spider,Arachnids,Animalia,Arthropoda,Arachnida
Nuctenea umbratica,Walnut Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Thelacantha brevispina,Asian Spinybacked Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Trichonephila clavata,Jorō Spider,Arachnids,Animalia,Arthropoda,Arachnida
Trichonephila clavipes,Golden Silk Spider,Arachnids,Animalia,Arthropoda,Arachnida
Trichonephila edulis,Edible Golden Silk Spider,Arachnids,Animalia,Arthropoda,Arachnida
